first,last,title,company,industry,linkedin_url,person_info,company_info,company_goals,homepage_url,total_funding,latest_round,valuation,key_investors,funding_notes
Arnaud,Zanotti,Director Data Center,CBRE,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/arnaudztt-director-advisory-services-data-center,"Arnaud Zanotti is a Director of Advisory Services for Data Centers at CBRE, based in France, focused on data center real estate and AI/cloud infrastructure deployment (including build-to-suit and GPU deployment). His background spans B2B sales, business development and solution development across IT, cloud and real estate, having moved from telemarketing and account management roles into the data center advisory space.","CBRE Group (NYSE: CBRE) is a Fortune 500 / S&P 500 company headquartered in Dallas and the world's largest commercial real estate services and investment firm, with more than 155,000 employees serving clients in over 100 countries. Its homepage positions it as 'the global leader in commercial real estate services and investment and a premier provider of critical infrastructure services,' operating through four segments: Advisory, Building Operations & Experience, Project Management and Real Estate Investments.","CBRE is building out data center solutions (site selection, leasing, design-build and facilities management) within its Building Operations & Experience segment, increasingly oriented around AI-driven demand and power constraints (its 'Global Data Center Trends 2026' report headlines power, pricing and AI). It serves occupiers, investors, owners and hyperscalers across every sector and geography, helping clients invest in, plan, lease, build and manage real estate and critical infrastructure.",https://www.cbre.com,Public company,,~$40B+ market cap,,"NYSE-listed (CBRE Group) commercial real estate services firm founded 1906; ~$40.5B FY2025 revenue, not VC-funded."
Patrick,Cooper,"Sr BDE, Hyperscale & Neocloud",Iron Mountain,Cloud Infrastructure & Data Centers,,"Patrick Cooper is a Senior Business Development Executive for Hyperscale & Neocloud at Iron Mountain, a UK/EMEA-based remote role focused on driving revenue growth by securing and managing strategic partnerships with global hyperscale cloud providers and neoclouds. The role centers on developing and executing a hyperscale sales strategy, managing the pipeline and forecasting, and selling Iron Mountain's data center and asset lifecycle management services to the largest cloud companies. No single LinkedIn profile could be confidently disambiguated among many people named Patrick Cooper.","Iron Mountain (NYSE: IRM) is an S&P 500 information management and data center company, trusted by ~95% of the Fortune 1000 and more than 240,000 customers across 60+ countries since 1951. Its homepage spans four core areas: inventory management and logistics (records storage), data center solutions, a digital platform (InSight DXP), and IT asset lifecycle management, with a 97M sq ft real estate footprint and a 1.2 GW+ global data center platform.","Iron Mountain is building out a global colocation data center business (30+ data centers on three continents, 1,300+ customers including major hyperscalers) and AI-readiness offerings, alongside InSight DXP, an AI-powered platform for governing and activating unstructured data, plus ITAD/asset lifecycle management. It targets highly regulated enterprises, hyperscalers, neoclouds, financial services, healthcare, public sector and small businesses seeking secure data infrastructure and information governance.",https://www.ironmountain.com,Public company,,~$35B market cap (NYSE: IRM),,Publicly traded information management/storage REIT (NYSE: IRM); not a venture-funded startup.
Bruno,Teodoro,EMEA Vice President,Mirantis,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/bruno-teodoro-11b73aa,"Bruno Teodoro was appointed Vice President of Business Development for EMEA at Mirantis (announced April 2026), responsible for expanding the company's market presence and building strategic partnerships across Europe, the Middle East and Africa. He brings extensive EMEA technology experience from prior go-to-market and technology roles at Dell, IBM and Ericsson, with a focus on cloud, infrastructure and telecom and on building partner ecosystems and customer relationships.","Mirantis is a Campbell, California-based software company specializing in cloud-native technologies, Kubernetes management and AI infrastructure. Its platform (including the k0rdent AI platform built on open-source k0s/k0smotron, plus the widely adopted Lens Kubernetes IDE) helps developers and operators build, manage and scale Kubernetes-native infrastructure across any environment, reducing operational complexity for cloud and AI workloads. Mirantis was recently acquired by IREN.","Mirantis is building Kubernetes-native infrastructure and GPU/AI platforms that help service providers, neoclouds and enterprises move beyond GPU leasing to operate scalable, high-margin GPU services on NVIDIA infrastructure (Bare Metal as a Service, multi-cluster Kubernetes, a white-label AI development platform, and governed Lens AI agents). It is pursuing global expansion (notably EMEA) and targets enterprises and service providers running AI training, inference and shared services in production.",https://www.mirantis.com,~$220M (8-9 rounds),"Venture Debt / Line of Credit ~$20M, Sep-Oct 2023","Acquired by IREN for ~$625M (all-stock, May 2026)","Insight Partners, Intel Capital, Goldman Sachs, August Capital, WestSummit Capital, Ericsson, Sapphire Ventures",Cloud-native/Kubernetes infra firm; acquired by AI data-center operator IREN for ~$625M in 2026.
Yann,de Cheffontaines,CEO,Corebridge Infra,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/yann-de-cheffontaines-520b11146,"Yann de Cheffontaines is listed as CEO of Corebridge Infra, a Paris/France-based executive in the cloud and data center infrastructure space. Public web records on him are thin and partly conflated with entrepreneurial activity around the French e-commerce startup Stockly; the LinkedIn profile provided is the best available match for a Paris-based Yann de Cheffontaines but could not be fully verified against the Corebridge Infra role.","Corebridge Infra appears to be an early-stage / privately held data center and digital infrastructure company in the Cloud Infrastructure & Data Centers space. No official company homepage could be verified via search, and the name is easily confused with two unrelated 'Corebridge' entities (Corebridge Systems, a Paris enterprise telephony/UC software publisher, and Corebridge Financial, the former AIG life-and-annuity insurer), so this description is inferred from the attendee's stated company and industry rather than grounded in a confirmed Corebridge Infra website.","Based on its name and industry classification, Corebridge Infra is positioned to develop, finance or operate data center and cloud infrastructure assets, likely serving enterprises and cloud/AI workloads requiring compute, power and connectivity. Specific products, mission and target customers could not be confirmed from a verifiable primary source; a confirmed company URL or direct outreach would be needed to ground these details.",,Unknown,,,,"No clear startup match; search returns Corebridge Financial (NYSE:CRBG), a large public US retirement/insurance firm merging with Equitable, not an infrastructure startup."
Prabhu,Deva,EMEA Director,BBT BV ( Bytebridge solutions),Cloud Infrastructure & Data Centers,,"Prabhu Deva is listed as EMEA Director for BBT BV (ByteBridge solutions), responsible for the company's data center and IT infrastructure business across Europe, the Middle East and Africa. A specific LinkedIn profile could not be confidently matched (the Prabhu Deva profiles surfaced in search are unrelated software engineers in India), so the LinkedIn field is left blank pending verification.","ByteBridge (operating as BBT BV in EMEA; bytebt.com) is a global one-stop IT solutions provider founded in Silicon Valley, with entities and service locations across six continents. Its homepage describes comprehensive data center, IT infrastructure and unified communications solutions, with data center offerings spanning electrical, thermal management, connectivity, physical infrastructure and security, plus cloud integration and managed/professional services.","Guided by its vision 'Bridging Visions, Shaping Futures' and mission to 'empower every organization to easily access technology globally and achieve more,' ByteBridge is building AI-driven and HPC-ready data center infrastructure (led by its VP of Data Center Engineering & Services) along with cloud migration, multi-cloud management, connectivity and security solutions. It targets enterprises and international companies needing scalable, secure data center, cloud and unified-communications infrastructure worldwide.",https://www.bytebt.com,Unknown,,,,"Ambiguous name; the data-center/IT-solutions ByteBridge is listed as unfunded by Tracxn/Getlatka, no disclosed funding found."
Eugene,Hector,Founder,Greenius -AI,Healthcare & Life Sciences,,"Eugene Hector is the founder of Greenius (greenius.ai), an early-stage AI startup. No detailed public LinkedIn profile surfaced under this name, but he is associated with founding/building Greenius as a sustainability-focused AI venture; the company appears in the orbit of the Tonomus Venture Studio (NEOM's AI/tech venture-building arm).","Greenius is an early-stage AI company whose homepage positions it around the tagline 'Sustainable AI for Tomorrow.' Per LinkedIn it is an incubated company tied to the Tonomus Venture Studio and is described as focused on sustainable AI, with a very small (1-10 person) team. Public detail on the company is still thin, consistent with an early/stealth-stage startup.","The core idea is building AI that is sustainable and forward-looking ('Sustainable AI for Tomorrow'), suggesting AI products/services designed with environmental efficiency and responsible deployment in mind. Concrete product details and target customers are not yet publicly disclosed on the homepage, which currently functions mainly as a brand/contact landing page for an emerging venture.",https://greenius.ai,Not disclosed,,,Tonomus Venture Studio (incubator),"Ambiguous name; likely Greenius.ai, a NEOM/Tonomus-incubated sustainable-AI startup (1-10 employees, founded 2024); no funding disclosed. Several unrelated 'Greenius' firms exist (landscaping SaaS, Italian energy, German LED)."
Nick,Malone,Principal,Protagonist,Venture Capital & Private Equity,https://www.linkedin.com/in/njmalone26/,"Nicholas (Nick) Malone is a Principal at Protagonist, an early-stage venture capital firm. He is active in the early-stage/emerging-tech VC community (a co-organizer of 'The Principal Club,' a space for VC Principals) and sources and supports founders across the firm's software, AI, fintech, consumer, and web3 focus areas.","Protagonist is an early-stage (pre-seed through Series A) venture capital firm, founded in 2022 and based in the Miami/Bay Harbor Islands area, that backs ambitious founders building emerging-technology businesses. It was co-founded by serial entrepreneurs including George Bousis (founder of Raise) and Harry Hurst, and invests across software, AI, fintech, consumer, and web3/blockchain.","Protagonist sells capital plus hands-on operator support - leading and co-leading early rounds and writing initial 'scout checks,' then guiding founders through fundraising, business development, product, talent, and scaling. Its thesis has evolved from a crypto-native fund into a multi-sector emerging-tech investor, and it has backed companies such as xAI, Tenstorrent, Epirus, Exowatt, Sentient, and Halcyon. It targets exceptional, prolific founders and aims to be their first institutional partner.",https://www.protagonist.xyz,$100M (fund size),"Debut fund, $100M, 2022",,,"Early-stage crypto VC fund/incubator (founded 2022) that raised a $100M debut fund; it is an investor, not an operating startup."
Shana,Inch,GTM Director,ElevenLabs,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/inch-shana/,"Shana Inch is a GTM (go-to-market) Director at ElevenLabs, focused on EMEA, where she helps drive sales and demand generation for the company's AI audio products across Europe. She is UK-based, holds an MSc in International Management (China) from SOAS University of London, and previously worked in business development/capital raising at Connor, Clark & Lunn Financial Group and Amber Capital.","ElevenLabs is an AI research and product company (founded 2022 by Piotr Dabkowski and Mati Staniszewski) transforming how people interact with technology, starting with the first human-like AI voice model and now expanding beyond voice. Its vision is to make communication and creation with technology seamless, and it has scaled rapidly - crossing $500M ARR and raising a $500M Series D at an ~$11B valuation, backed by Sequoia, a16z, ICONIQ, NVIDIA, and others.","ElevenLabs builds three platforms: ElevenAgents (deploy reliable voice and chat AI agents at enterprise scale), ElevenCreative (generate and edit speech, music, image, and video across 70+ languages for creators and marketers), and ElevenAPI (foundational AI audio models for developers). It serves enterprises, developers, creators, and prosumers across media/entertainment, publishing, education, healthcare, and customer support, with a strong emphasis on AI safety and accessibility, working toward voice as a primary interface for technology.",https://elevenlabs.io,~$640M+,"$500M (round led by Sequoia), Feb 2026",$11B (Feb 2026),"Sequoia Capital, Andreessen Horowitz, ICONIQ",AI voice startup; valuation tripled from $3.3B (early 2025) to $11B; ~$200M+ ARR.
Craig,Kaplan,EVP,Zenlayer,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/craigkaplan/,"Craig 'Kap' Kaplan is EVP of Business Growth (Americas & EMEA) at Zenlayer, having joined in 2023 as SVP of Sales to expand enterprise outreach, partnerships, and revenue. He brings 20-25+ years in tech and telecom - notably scaling Edgecast Networks from $0 to $100M ARR through its Verizon Digital Media acquisition - plus roles at Virbela and as a GTM/CEO advisor; he holds a degree from UCLA.","Zenlayer, founded in 2014 by Joe Zhu, is a massively distributed edge/'hyperconnected' cloud platform now positioning itself as 'the distributed cloud for AI.' It operates 250+ points of presence across six continents (with deep strength in emerging markets like India, China, Southeast Asia, and South America), reaching ~85% of the world's internet population in under 25ms via 10,000+ peering sessions and 130+ Tbps of capacity.","Zenlayer sells on-demand global infrastructure - bare metal cloud, cloud networking/Cloud WAN, edge computing, IP transit, Fabric Port connectivity, and colocation - provisioned instantly via its zenConsole, APIs, or Terraform. It is increasingly focused on AI workloads (e.g., AI Gateway and Distributed Inference), helping enterprises and AI innovators deploy, connect, and accelerate mission-critical and AI applications globally with ultra-low latency, especially in hard-to-reach emerging markets.",https://www.zenlayer.com,~$90M-$102M,"Series C-II, $12M, Dec 27 2021 (largest: $50M Series C, May 2021)",Not disclosed,"Anatole Investment, Prospect Avenue Capital, Volcanics Venture, MDI Ventures, F&G Venture, Forebright Capital, NSFOCUS",Edge cloud/data center provider; total cited ~$90M (company) to $102M (CBInsights) over 4 rounds.
Joyce,Chan,Marketing Manager,Hong Kong Trade Development Council,Government & Public Sector,https://www.linkedin.com/in/joyce-chan-2b335485,"Joyce Chan is a marketing professional at the Hong Kong Trade Development Council (HKTDC), working in marketing/market promotion. (Multiple 'Joyce Chan' profiles are associated with HKTDC; the on-file profile corresponds to a long-tenured marketing role supporting the Council's trade-promotion and event marketing activities.)","The Hong Kong Trade Development Council (HKTDC) is a statutory body established in 1966 to promote, assist, and develop Hong Kong's trade. With over 50 offices globally (including 13 in mainland China), it promotes Hong Kong as a two-way global investment and business hub and supports companies - particularly SMEs - in connecting to mainland and international markets.","HKTDC's 'offering' is trade promotion and business facilitation: it organizes major international exhibitions, conferences, and business missions to create deal-making opportunities, and provides up-to-date market intelligence and product information through trade publications, research reports, and digital news channels. Its core users are Hong Kong and overseas businesses (especially SMEs) seeking market access, partners, and exposure, working toward strengthening Hong Kong's role as a global trade and investment gateway.",https://www.hktdc.com,Government body,,,,"Statutory/government body established in 1966 to promote Hong Kong trade; funded by the HK government, not venture-backed."
Bruno,Quemener,Ceo,innovfast innovation by AI,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/quemener-bruno,"Bruno Quemener is the founder and CEO (PDG) of InnovFast, based in Rennes, France. He previously led digital innovation and information systems at major international groups including Delta Dore, Sagemcom and Playmobil, and founded the digital-transformation accelerator Move2.digital. He brings deep experience in helping marketing, innovation and strategy leaders make faster, evidence-based decisions.","InnovFast (by Move2.digital) is an AI-powered market-intelligence and decision-support platform that turns market, competitor and customer data into immediately actionable strategic decisions. The homepage positions it as 'the first AI platform that transforms innovation processes by integrating agility and customer needs at every step,' offering market studies in under 30 minutes, AI-augmented ideation, and rapid concept validation using synthetic personas.","InnovFast is building an agentic AI 'Decision and Market Intelligence' platform with an Evidence Graph for traceable decisions and H1/H2/H3 strategic prioritization, aiming to help companies innovate roughly 10x faster, reduce product-investment risk and halve time-to-market. It serves SMEs, mid-caps and large groups (B2B and B2C) across sectors like banking/insurance, energy, retail, mobility, luxury and industry, targeting innovation, marketing, strategy, product and R&D directors.",https://innovfast.move2.digital/,Unknown,,,,Early-stage AI innovation co-pilot platform ('innovate 10x faster'); no funding rounds found in search results.
Matthew,Wise,Global AI Deployment Director,TecEx,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/matthew-wise3,"Matthew Wise is Global AI Infrastructure Deployment Director at TecEx, where he focuses on enabling cross-border deployment of AI and data-center hardware. Based in the Cape Town area (TecEx's home market), he works within the company's trade-compliance and global-deployment organization. His role centers on helping enterprises move tech hardware into the 200+ markets TecEx services, in full regulatory compliance.","TecEx is a global trade-compliance specialist and the market leader in Importer of Record (IOR) solutions for the technology supply chain, grounded by its homepage tagline 'Tech Hardware Clearing Customs Globally.' It removes barriers to trade by handling customs compliance, HS-code classification and the import/export of tech hardware to more than 200 destinations. The company reports 75,000+ successful shipments across 211 borders and 23 industries.","TecEx sells Importer of Record (IOR), Exporter of Record (EOR), Delivered Duty Paid (DDP), trade-compliance, liability cover, VAT recovery and reverse-logistics (RMA) services, plus a shipping portal for instant quotes and real-time tracking. It is increasingly focused on AI infrastructure and data-center deployment, helping enterprises and hyperscalers ship sensitive tech gear globally without local entities, derisking and streamlining their supply chains.",https://www.tecex.com,Not disclosed,,,,Bootstrapped global Importer-of-Record/customs-compliance firm (~$68.6M 2026 revenue); no disclosed external funding rounds.
Davide,Petrillo,CEO,Aevra,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/davide-petrillo-1652a4235,"Davide Petrillo is the founder/CEO of Aevra, based in Reykjavík, Iceland. His background spans venture and startup roles, including Venture Partner at the deep-tech investor Scientifica, where he sourced and assessed early-stage AI and IT ventures, plus prior experience at ALTEN and the Erasmus for Young Entrepreneurs program. He combines startup-scouting experience with hands-on technical training (web development, Agile/Scrum).","Aevra (aevra.ai) is an early-stage, AI-powered software company for the dental industry, described on its homepage as automating treatment presentations and increasing case acceptance for dental practices. Its platform takes clinical notes and intraoral photos, suggests ADA/CDT procedure codes, generates AI 'after' treatment visualizations, computes cost/insurance estimates and runs a patient portal with an AI chatbot and automated follow-ups. It is HIPAA-ready with a SOC 2 roadmap and is currently in beta ('Coming Soon').","Aevra is building an end-to-end 'automation cycle' that guides dental patients from diagnosis to confirmed booking—boosting case acceptance and practice revenue—and integrates with practice-management (Dentrix, Eaglesoft, Open Dental, Curve), cloud platforms (Carestack, Planet DDS, Tab32) and AI imaging tools (Pearl, Overjet, VideaHealth). It targets modern dental clinics from single practices to multi-clinic groups, aiming for enterprise-grade compliance and fast (weeks-not-quarters) rollout.",https://www.aevra.ai,Unknown,,,,"No clear company named exactly 'Aevra' found; results matched similarly-named firms (Avrea, Aeva, Avenira) - likely ambiguous or very early-stage/stealth."
Miguel angel,Gonzalez,"Sales, Marketing and Comms Director",Quetta Data Centeta,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/miguel-angel-gonzalez-ezquerra-90b6471/,"Miguel Angel Gonzalez Ezquerra is the Sales, Marketing and Communications (Business Unit) Director at Quetta Data Centers, based in the Greater Madrid area. He is a commercial leader with more than 20 years of experience, including a background in FMCG, and studied at Universidad Pontificia Comillas. At Quetta he leads go-to-market and brand efforts as the company builds out its Iberian edge/AI data-center network.","Quetta Data Centers is a Spanish edge and AI data-center platform created by fund manager Azora in collaboration with Core Tech Capital, headquartered in Madrid. Its homepage frames the Iberian Peninsula as a strategic digital hub with abundant renewable energy and sub-60ms submarine-cable connectivity to five continents, and positions Quetta as a sustainable, proximity-based alternative to large hyperscale campuses. Its facilities are designed for AI workloads with advanced (closed-loop liquid / DLC) cooling, zero net water use and very low PUE.","Quetta is building a network of six eco-efficient edge data centers across Spain and Portugal (60 MW total, 500M-euro-plus investment), with flagship sites in Tres Cantos (Madrid, doubled to 20 MW) and Molins de Rei (Barcelona). It targets low-latency, high-density use cases—AI, IoT, gaming, streaming and autonomous driving—offering up to ~600kW per rack on direct liquid cooling, 100% renewable energy, WUE 0 and PUE below 1.15, serving both retail and hyperscale operators needing proximity capacity.",https://www.quetta.eu/en/,~$546.85M (>EUR500M platform commitment),"Unattributed, $546.85M, Feb 7 2024",Not disclosed,"Azora, Core Capital (Core Tech Capital)",Spanish edge/AI data center platform (Quetta Data Centers) launched 2024 by Azora with Core Capital; >EUR500M to build six Iberian data centers.
Nicholas,Rubens,Founder,Ancoran,Cloud Infrastructure & Data Centers,,"Nicholas Rubens is listed as the Founder of Ancoran, a company tagged in the cloud-infrastructure / data-center space. Public search returned no confirmed LinkedIn profile or biographical detail that can be reliably matched to this specific Nicholas Rubens, so his career background could not be verified. (Several unrelated 'Nicholas/Nicolas Rubens' profiles exist but none could be tied to Ancoran.)","No official website or verifiable company information could be found for Ancoran. Unrestricted web searches surfaced only unrelated results (a video-game character and a Galician verb form), suggesting Ancoran is a very early-stage, pre-launch or stealth company with no public web footprint at this time. Based on the conference data, it operates in the Cloud Infrastructure & Data Centers space.","Company goals could not be grounded in any public source. Given its Cloud Infrastructure & Data Centers classification, Ancoran is presumably building or providing cloud/data-center infrastructure, but no products, mission, target customers or use cases could be confirmed from available web sources.",,Unknown,,,,"No reliable funding data found for an entity named exactly 'Ancoran'; search returned unrelated companies (Ancora, Ankored, Anrok)."
Alex,Webb,Sales Director - New Business,Stellanor Datacenters,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/alexwebb4d,"Alex Webb is Sales Director for New Business at Stellanor Datacenters, where he drives commercial growth for the company's UK colocation portfolio. He joined Stellanor through its acquisition of Redcentric's data centre business, having previously worked on the sell-side of that deal at Redcentric. His background is in data centre and connectivity sales across the UK market.","Stellanor Datacenters is a UK-based, DWS-backed data centre operator launched in 2025 that delivers sustainable regional colocation services for enterprises, IT and managed cloud service providers, and public/government organisations. Per its homepage, it offers colocation, carrier-neutral connectivity, and migration/hybrid-cloud services from facilities running on 100% green energy with 24/7 support. It now operates around 10-12 sites across the UK (London, Cambridge, Gatwick, Reading, Woking, West Yorkshire and more) after acquiring eight data centres from Redcentric and earlier assets from Colt.","Stellanor is building a new generation of regional, edge-focused, AI-ready data centres positioned for proximity, performance, sustainability and accessibility. It aims to become the leading platform of regional data centres serving national and international enterprises and service providers needing wholesale and AI inference capacity, with planned expansion across the UK and the Nordics. Its customers are enterprises, cloud/managed service providers, academic institutions and public-sector bodies who choose their own connectivity providers and value sovereign, green, low-latency infrastructure.",https://www.stellanordatacenters.com/,"Backed by DWS (institutional, amount not disclosed)","Acquisition financing (8 data centres from Redcentric), up to GBP127M enterprise value, completed May 2026",,DWS Group (infrastructure fund),"Not a VC-funded startup; UK urban data centre platform launched 2025, capitalized via DWS-managed infrastructure fund; grew 2 to 11 sites via acquisitions."
Jianhe,Liao,Principal AI Advisor,Bitdeer Inc.,Cloud Infrastructure & Data Centers,,"Jianhe Liao serves as Principal AI Advisor at Bitdeer, advising on the company's expansion into AI cloud and high-performance computing. The role sits within Bitdeer's AI organization, which spans its AI Cloud business and frontier Bitdeer AI Lab. (No definitive public LinkedIn profile was confirmed; this individual is distinct from Bitdeer's departing CFO Jianchun Liu.)","Bitdeer Technologies Group (NASDAQ: BTDR) is a Singapore-headquartered, vertically integrated technology company for Bitcoin mining and AI/high-performance computing. Per its homepage, it spans the full value chain: in-house IC design and SEALMINER mining-rig manufacturing, data center construction and operations, cloud mining, and a fully integrated AI cloud. Its AI cloud is powered by thousands of NVIDIA GPUs (GB200 NVL72, B200, H200/H100, and upcoming GB300/B300) delivering compute for model training, inference and scaling.","Bitdeer is building out a global AI infrastructure footprint, expanding from Southeast Asia into the US and Norway, while continuing to scale its self-mining hashrate and SEALMINER hardware sales. It is increasingly converting and repurposing its roughly 3 GW global power capacity (US, Norway, Bhutan, Canada, Malaysia, Ethiopia) toward AI cloud and colocation workloads. It serves Bitcoin miners (retail and institutional), hosting customers, and AI/ML developers needing turnkey GPU compute, positioning compute, energy and chip design as one integrated platform for the AI era.",https://www.bitdeer.com/,Public company,"$400M convertible notes + $149M equity offering, Nov 2025",,"Tether (~25% stake, $100M+), Cantor Fitzgerald","Nasdaq-listed (BTDR) Bitcoin mining/HPC firm; went public via 2023 SPAC; funds growth via convertible note raises ($150M 2024, $360M 2024, $330M Jun 2025) plus Tether placement."
